Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Guzzler? ,Air Aspiration Method Desc,Trans Desc,# Gears,Lockup Torque Converter,Trans Creeper Gear,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class Desc,Release Date,EPA FE Label Dataset ID,Var Valve Timing?,Var Valve Lift?,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,# Drive Motor Gen,Motor Gen Type Desc,Rated Motor Gen Power (kW),Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System)  Description,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Volkswagen Group of,Volkswagen,Jetta Hybrid,VGA,1.4,4,Auto(AM-S7),42,48,44,,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,N,"2-Wheel Drive, Front",15,Gasoline (Premium Unleaded Recommended),1100,1100,Compact Cars,8/17/15,18676,Y,N,Battery(s),1,Lithium Ion,220,1100,27,On-Board,Electrical Regen Brake,Front Wheels,Y,1,Other,15,Spark Ignition Direct Injection,N,N,N,5W40 VW 50200,Yes,60.8,9,3500,,212,184,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,HYUNDAI MOTOR COMPANY,Sonata HYBRID SE,HYX,2.0,4,Auto(AM6),40,44,42,,Naturally Aspirated,Automated Manual,6,N,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1050,1050,Midsize Cars,3/10/15,17670,Y,N,Battery(s),1,Lithium Ion,270,6,38.6,On-Board,Electrical Regen Brake,Front Wheels,N,1,Other,10,Spark Ignition Direct Injection,N,N,N,SAE 5W-20 GF4,Yes,58.5,9,3750,,224,203,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,TOYOTA,PRIUS v,TYX,1.8,4,Auto(AV),44,40,42,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1050,1050,Midsize Station Wagons,8/18/15,18207,Y,N,Battery(s),1,NiMH,202,6.5,46.4,On-Board,Electrical Regen Brake,Front Wheels,N,1,AC Induction,18,Multipoint/sequential fuel injection,N,N,N,0W-20,Yes,59.5,9,3750,,203,219,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,LEXUS,CT 200h,TYX,1.8,4,Auto(AV),43,40,42,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1050,1050,Compact Cars,8/29/15,18208,Y,N,Battery(s),1,NiMH,202,6.5,46.4,On-Board,Electrical Regen Brake,Front Wheels,N,1,AC Induction,18,Multipoint/sequential fuel injection,N,N,N,0W-20,Yes,58.1,9,3750,,205,220,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ford Motor Company,Ford,FUSION HYBRID FWD,FMX,2.0,4,Auto(AV),44,41,42,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1050,1050,Midsize Cars,4/10/15,17756,Y,N,Battery(s),1,Lithium Ion,280,5,31.7,On-Board,Electrical Regen Brake,Front Wheels,N,1,"DC Permanent Magnet, brushless",64,Multipoint/sequential fuel injection,N,N,N,"0W-20, GF-5",Yes,59.9,9,3750,,201,217,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Hyundai,HYUNDAI MOTOR COMPANY,Sonata HYBRID,HYX,2.0,4,Auto(AM6),39,43,41,,Naturally Aspirated,Automated Manual,6,N,N,"2-Wheel Drive, Front",10,Gasoline (Regular Unleaded Recommended),1100,1100,Midsize Cars,3/10/15,17671,Y,N,Battery(s),1,Lithium Ion,270,6,38.6,On-Board,Electrical Regen Brake,Front Wheels,N,1,Other,10,Spark Ignition Direct Injection,N,N,N,SAE 5W-20 GF4,Yes,56.7,9,3500,,228,209,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,TOYOTA,CAMRY HYBRID LE,TYX,2.5,4,Auto(AV),43,39,41,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1100,1100,Midsize Cars,8/6/15,18206,Y,N,Battery(s),1,NiMH,245,6.5,46.4,On-Board,Electrical Regen Brake,Front Wheels,N,1,AC Induction,24,Multipoint/sequential fuel injection,N,N,N,0W-20,Yes,58.1,9,3500,,207,224,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,LEXUS,ES 300h,TYX,2.5,4,Auto(AV-S6),40,39,40,,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),6,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1100,1100,Midsize Cars,8/5/15,18204,Y,N,Battery(s),1,NiMH,245,6.5,46.4,On-Board,Electrical Regen Brake,Front Wheels,N,1,AC Induction,24,Multipoint/sequential fuel injection,N,N,N,0W-20,Yes,55.8,9,3500,,219,228,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Toyota,TOYOTA,CAMRY HYBRID XLE/SE,TYX,2.5,4,Auto(AV),40,38,40,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1100,1100,Midsize Cars,8/6/15,18205,Y,N,Battery(s),1,NiMH,245,6.5,46.4,On-Board,Electrical Regen Brake,Front Wheels,N,1,AC Induction,24,Multipoint/sequential fuel injection,N,N,N,0W-20,Yes,55.4,9,3500,,218,230,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ford Motor Company,Lincoln,MKZ HYBRID FWD,FMX,2.0,4,Auto(AV),41,39,40,,Naturally Aspirated,Continuously Variable,1,N,N,"2-Wheel Drive, Front",15,Gasoline (Regular Unleaded Recommended),1100,1100,Midsize Cars,4/10/15,17755,Y,N,Battery(s),1,Lithium Ion,280,5,31.7,On-Board,Electrical Regen Brake,Front Wheels,N,1,"DC Permanent Magnet, brushless",64,Multipoint/sequential fuel injection,N,N,N,"0W-20, GF-5",Yes,59.9,9,3500,,216,228,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
